title,symptom_keywords,symptom_keywords,recommendation,
Temporomandibular Joint Disorder,"Jaw pain or tenderness, clicking or popping sounds in the jaw joint, difficulty chewing or opening the mouth","Jaw pain or tenderness, clicking or popping sounds in the jaw joint, difficulty chewing or opening the mouth","Self-care measures (rest, applying heat or cold, jaw exercises), pain medications, physical therapy, oral splints",
Vitamin A Deficiency,"Night blindness, dry eyes, dry or rough skin, poor wound healing, weakened immune system","Night blindness, dry eyes, dry or rough skin, poor wound healing, weakened immune system","Vitamin A supplementation, dietary changes to include foods rich in vitamin A",
Glucocorticoid Deficiency,"Fatigue, weakness, weight loss, low blood pressure, abdominal pain","Fatigue, weakness, weight loss, low blood pressure, abdominal pain",Hormone replacement therapy with glucocorticoid medications,
Astigmatism,"Blurred or distorted vision, eye strain, headaches,uneven curvature of cornea","Blurred or distorted vision, eye strain, headaches,uneven curvature of cornea","Eyeglasses, contact lenses, refractive surgery (LASIK, PRK), orthokeratology, toric intraocular lenses",
Low-Tension Glaucoma,"Gradual loss of vision, visual field defects","Gradual loss of vision, visual field defects","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)",
Headache after lumbar puncture,throbbing headache,throbbing headache,"Epidural blood patch, Conservative measures",
Flat Feet,"Foot pain or achiness, difficulty with foot and ankle movement, foot fatigue, swelling","Foot pain or achiness, difficulty with foot and ankle movement, foot fatigue, swelling","Supportive footwear, orthotic inserts, physical therapy exercises, pain management, surgery (in severe cases)",
Carbon Monoxide Poisoning,"Headache, dizziness, nausea, confusion","Headache, dizziness, nausea, confusion","Fresh air, oxygen therapy, immediate medical attention",
Orbital Cellulitis,"Eye pain, swelling, redness, vision changes","Eye pain, swelling, redness, vision changes","Antibiotics, hospitalization (in severe cases), surgical drainage (in some cases)",
Pulmonary Eosinophilia,"Cough, shortness of breath, wheezing, chest pain, fever, night sweats, fatigue, weight loss, elevated eosinophil count in the blood or sputum","Cough, shortness of breath, wheezing, chest pain, fever, night sweats, fatigue, weight loss, elevated eosinophil count in the blood or sputum","Identification and treatment of underlying causes (such as parasitic infections, drug reactions, or allergic reactions), corticosteroids (such as prednisone) to reduce inflammation, bronchodilators (such as inhalers) to relieve bronchospasm and improve airflow, antiparasitic medications (if parasitic infection is identified), immunosuppressive medications (in severe cases), avoidance of triggers or allergens (if identified), symptomatic treatment for associated symptoms (such as fever or cough), regular monitoring and follow-up with a healthcare professional",
Antimicrobial Drugs Poisoning,"Nausea, vomiting, diarrhea, neurological symptoms","Nausea, vomiting, diarrhea, neurological symptoms","Immediate medical attention, supportive care, antidote administration",
Eczema,"Itchy, red, inflamed skin, rash","Itchy, red, inflamed skin, rash","Emollients (moisturizers), topical corticosteroids or immunomodulators, avoiding triggers",
Pneumonia,"Cough, fever, chest pain, difficulty breathing","Cough, fever, chest pain, difficulty breathing","Antibiotics, antiviral medications (if applicable), rest, fluids, symptomatic relief",
Intestinal Malabsorption,"Chronic diarrhea, weight loss, abdominal pain or bloating, nutrient deficiencies (vitamins, minerals), fatigue, failure to thrive","Chronic diarrhea, weight loss, abdominal pain or bloating, nutrient deficiencies (vitamins, minerals), fatigue, failure to thrive","Dietary modifications (specific to the underlying cause), supplementation of deficient nutrients, medications (to manage symptoms or underlying condition), treatment of underlying cause",
Conductive Hearing Loss,"Reduced hearing sensitivity, muffled or blocked sound","Reduced hearing sensitivity, muffled or blocked sound","Medications, surgical intervention, hearing aids",
Pinworm Infection,"Itching around the anus or vagina, restless sleep, irritability, anal or vaginal discharge, abdominal pain or discomfort, loss of appetite","Itching around the anus or vagina, restless sleep, irritability, anal or vaginal discharge, abdominal pain or discomfort, loss of appetite","Anthelmintic medication, hygiene measures (handwashing, trimming nails, laundering bedding), treatment for household members",
Esophageal Varices,"Swollen blood vessels in the esophagus, vomiting blood, black, tarry stools","Swollen blood vessels in the esophagus, vomiting blood, black, tarry stools","Medications (beta-blockers, vasoconstrictors), endoscopic therapies, band ligation, transjugular intrahepatic portosystemic shunt (TIPS), surgical interventions",
Dermatitis due to Sun Exposure,"Sunburn-like rash, redness, itching","Sunburn-like rash, redness, itching","Moisturizers, cool compresses, topical corticosteroids",
Gonorrhea,"Painful urination, abnormal discharge from the genitals, pelvic pain","Painful urination, abnormal discharge from the genitals, pelvic pain","Antibiotics (dual therapy with ceftriaxone and azithromycin), safe sexual practices, partner notification",
Chronic Sinusitis,"Facial pain or pressure, nasal congestion, thick nasal discharge, postnasal drip, cough, fatigue","Facial pain or pressure, nasal congestion, thick nasal discharge, postnasal drip, cough, fatigue","Saline nasal irrigation, nasal corticosteroids, antibiotics (in bacterial cases), decongestants, pain relievers, surgery (in severe or chronic cases)",
Concussion,"Headache, dizziness, nausea or vomiting, confusion, memory problems, sensitivity to light or noise, mood changes","Headache, dizziness, nausea or vomiting, confusion, memory problems, sensitivity to light or noise, mood changes","Physical and cognitive rest, gradual return to normal activities, symptom management (such as pain relievers or anti-nausea medication), monitoring for complications (such as changes in neurological function), cognitive rehabilitation (if persistent cognitive problems), management of associated symptoms (such as sleep disturbances or mood changes), education and support for recovery, avoiding further head injuries",
Parathyroid Adenoma,"Fatigue, weakness, bone pain, frequent urination, kidney stones","Fatigue, weakness, bone pain, frequent urination, kidney stones","Surgical removal of the adenoma (parathyroidectomy), medications to manage calcium levels",
Herpangina,"Sore throat, fever, painful sores or blisters in the mouth and throat, difficulty swallowing, loss of appetite","Sore throat, fever, painful sores or blisters in the mouth and throat, difficulty swallowing, loss of appetite","Symptomatic relief (pain relievers, throat lozenges, mouth rinses), rest, fluids, maintaining good oral hygiene, avoiding spicy or acidic foods",
Conversion Disorder,"Neurological symptoms that cannot be explained by a medical condition or injury, such as paralysis, blindness, seizures, or difficulty speaking","Neurological symptoms that cannot be explained by a medical condition or injury, such as paralysis, blindness, seizures, or difficulty speaking","Psychotherapy (such as cognitive-behavioral therapy or psychodynamic therapy), physical therapy or rehabilitation (to improve physical function and reduce disability), addressing underlying stressors or psychological factors, supportive care and reassurance, potentially medications (such as antidepressants or anti-anxiety medications)",
Lymphedema,"Swelling in arms or legs, feeling of heaviness or tightness","Swelling in arms or legs, feeling of heaviness or tightness","Compression therapy, exercise, lymphatic drainage techniques, surgery (in severe cases)",
Hirschsprung Disease,"Chronic constipation, abdominal distension, failure to pass meconium (in newborns)","Chronic constipation, abdominal distension, failure to pass meconium (in newborns)",Surgery to remove the affected part of the colon (pull-through procedure),
Rheumatoid Arthritis,"Joint pain, stiffness, swelling, fatigue, loss of appetite","Joint pain, stiffness, swelling, fatigue, loss of appetite","Medications (nonsteroidal anti-inflammatory drugs, disease-modifying antirheumatic drugs), physical therapy, exercise",
Turner syndrome,"Short stature, Gonadal dysgenesis, Webbed neck, Lymphedema","Short stature, Gonadal dysgenesis, Webbed neck, Lymphedema","Growth hormone therapy, Estrogen replacement therapy, Cardiac and renal evaluations",
Sciatica,Pain radiating from the lower back to the leg,Pain radiating from the lower back to the leg,"Pain medications, physical therapy, stretching exercises",
Endophthalmitis,"Eye pain, redness, swelling, blurred vision, decreased vision, floaters (dark spots or cobwebs in the vision), increased sensitivity to light (photophobia), discharge from the eye, excessive tearing, fever","Eye pain, redness, swelling, blurred vision, decreased vision, floaters (dark spots or cobwebs in the vision), increased sensitivity to light (photophobia), discharge from the eye, excessive tearing, fever","Immediate medical attention is required. Treatment may include: intravenous antibiotics or antifungal medications, intravitreal injections (injections of antibiotics or antifungal agents directly into the eye), vitrectomy (surgical removal of the gel-like fluid within the eye), topical or oral medications (to manage pain, inflammation, or infection), frequent follow-up visits with an ophthalmologist, supportive care (such as warm compresses or lubricating eye drops)",
Myelodysplastic Syndrome,"Fatigue, frequent infections, easy bruising or bleeding","Fatigue, frequent infections, easy bruising or bleeding","Supportive care, blood transfusions, medications, bone marrow transplantation (in some cases)",
Premature Ventricular Contractions (PVCs),"Skipped or extra heartbeats, palpitations, lightheadedness","Skipped or extra heartbeats, palpitations, lightheadedness","Monitoring (in most cases), lifestyle changes, medications (beta-blockers, antiarrhythmics)",
Ludwig's angina,"Severe swelling of the floor of the mouth, fever, difficulty swallowing, drooling","Severe swelling of the floor of the mouth, fever, difficulty swallowing, drooling","Intravenous antibiotics, airway management, surgical drainage",
Cryptococcosis,"Headache, fever, fatigue, cough, meningitis, pneumonia","Headache, fever, fatigue, cough, meningitis, pneumonia","Antifungal medication (e.g., Amphotericin B, Fluconazole), supportive care",
Diabetic Kidney Disease,"High blood pressure, increased need to urinate, swelling in the legs and ankles, fatigue, nausea, loss of appetite","High blood pressure, increased need to urinate, swelling in the legs and ankles, fatigue, nausea, loss of appetite","Blood pressure control, blood sugar control, medications to protect the kidneys (such as ACE inhibitors or ARBs), lifestyle modifications (healthy diet, regular exercise, quitting smoking), management of underlying diabetes, treatment of complications (such as dialysis or kidney transplantation in advanced stages)",
Premenstrual Tension Syndrome,"Mood swings, bloating, breast tenderness, irritability","Mood swings, bloating, breast tenderness, irritability","Lifestyle changes, medications (pain relievers, hormonal contraceptives), therapy",
Drug Abuse (Methamphetamine),"Increased energy and alertness, decreased appetite, rapid heartbeat","Increased energy and alertness, decreased appetite, rapid heartbeat","Detoxification, counseling, behavioral therapies, support groups, medication-assisted treatment (if applicable)",
Urge Incontinence,"Sudden, intense urge to urinate followed by involuntary urine leakage","Sudden, intense urge to urinate followed by involuntary urine leakage","Behavioral therapies (bladder training, pelvic floor exercises), medications (anticholinergics, beta-3 agonists), medical devices",
Dengue Fever,"High fever, severe headache, joint and muscle pain, rash, nausea or vomiting, bleeding tendencies","High fever, severe headache, joint and muscle pain, rash, nausea or vomiting, bleeding tendencies","Supportive care (hydration, pain relievers, rest), monitoring, medical attention for severe cases (fluid replacement, blood transfusion, hospitalization)",
Lead Poisoning,"Fatigue, abdominal pain, joint pain, memory loss or cognitive difficulties, developmental delays (in children), anemia","Fatigue, abdominal pain, joint pain, memory loss or cognitive difficulties, developmental delays (in children), anemia","Removal of lead source, chelation therapy (in severe cases), supportive care, medication to manage symptoms, addressing complications (such as anemia)",
Actinic Keratosis,"Rough, scaly patches on the skin, usually in sun-exposed areas","Rough, scaly patches on the skin, usually in sun-exposed areas","Topical medications (e.g., fluorouracil, imiquimod, diclofenac), cryotherapy, curettag",
Choledocholithiasis,"Abdominal pain (often in the upper right quadrant), jaundice, dark urine, pale stools, nausea, vomiting, endoscopic retrograde cholangiopancreatography (ERCP) with stone removal, sphincterotomy, Cholecystectomy ","Abdominal pain (often in the upper right quadrant), jaundice, dark urine, pale stools, nausea, vomiting, endoscopic retrograde cholangiopancreatography (ERCP) with stone removal, sphincterotomy, Cholecystectomy ","Non-surgical treatment options: Medications to manage pain and discomfort, antibiotics",
Head and Neck Cancer,"Persistent sore throat, difficulty swallowing, voice changes, ear pain, neck mass, weight loss","Persistent sore throat, difficulty swallowing, voice changes, ear pain, neck mass, weight loss","Treatment depends on the specific type and stage of cancer, and may include surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy",
Sjögren's syndrome,"Dry mouth and eyes, fatigue, joint pain, dry skin","Dry mouth and eyes, fatigue, joint pain, dry skin","Symptomatic relief with artificial tears, saliva substitutes, frequent sips of water, medications to stimulate saliva production, immune-modulating drugs",
Peritonitis,"Severe abdominal pain, tenderness, bloating, fever, nausea, vomiting, loss of appetite, increased heart rate","Severe abdominal pain, tenderness, bloating, fever, nausea, vomiting, loss of appetite, increased heart rate","Intravenous antibiotics to treat the infection, intravenous fluids to restore hydration, drainage or removal of any underlying fluid or abscess, surgery to repair or remove the source of infection",
Anemia of Chronic Disease,"Fatigue, weakness, pale skin, shortness of breath, decreased exercise tolerance","Fatigue, weakness, pale skin, shortness of breath, decreased exercise tolerance","Treating the underlying chronic disease, addressing nutritional deficiencies, blood transfusions (in severe cases)",
Ovarian Torsion,"Sudden and severe abdominal or pelvic pain on one side, sharp or stabbing pain, nausea, vomiting, fever, rapid heartbeat, abdominal tenderness, bloating, swelling, pain during intercourse, abnormal bleeding or spotting","Sudden and severe abdominal or pelvic pain on one side, sharp or stabbing pain, nausea, vomiting, fever, rapid heartbeat, abdominal tenderness, bloating, swelling, pain during intercourse, abnormal bleeding or spotting","Emergency medical attention (as ovarian torsion is a medical emergency), imaging tests (such as ultrasound or CT scan) to diagnose torsion, surgical intervention (laparoscopic or open surgery) to untwist the ovary and restore blood flow, removal of the ovary (if it is damaged or non-viable), pain management (medications for pain relief)",
Sciatica,"Lower back pain, leg pain, numbness or tingling","Lower back pain, leg pain, numbness or tingling","Pain relievers, physical therapy, exercise",
Lupus,"Joint pain, fatigue, skin rashes","Joint pain, fatigue, skin rashes","Medications (anti-inflammatory, immunosuppressants), lifestyle modifications",
Neonatal Jaundice,"Yellowing of the skin and eyes, pale stools, dark urine","Yellowing of the skin and eyes, pale stools, dark urine","Phototherapy, exchange transfusion (in severe cases), monitoring of bilirubin levels, addressing underlying causes (e.g., breastfeeding)",
Gastrointestinal Hemorrhage,"Abdominal pain, vomiting blood, bloody or black stools","Abdominal pain, vomiting blood, bloody or black stools","Blood transfusions, endoscopy, surgery (in severe cases), medications to stop bleeding",
Dislocation of the Ankle,"Swelling, severe pain, inability to bear weight","Swelling, severe pain, inability to bear weight","Reduction (realigning the bones), immobilization, rehab",
Vaginal Cyst,"Small lump or swelling in the vaginal wall, discomfort or pain during intercourse","Small lump or swelling in the vaginal wall, discomfort or pain during intercourse","Observation (if asymptomatic), warm compresses, sitz baths, surgical removal (if necessary)",
Orthorexia Nervosa,"Obsessive focus on ""clean"" eating, healthy food choices","Obsessive focus on ""clean"" eating, healthy food choices","Psychotherapy (such as cognitive-behavioral therapy or acceptance and commitment therapy), nutrition education, challenging distorted beliefs, addressing underlying issues",
Urinary Tract Infection (UTI),"Frequent urination, burning sensation during urination, cloudy or bloody urine, pelvic pain","Frequent urination, burning sensation during urination, cloudy or bloody urine, pelvic pain","Antibiotics, increased fluid intake, pain relievers",
Placenta Previa,"Vaginal bleeding, painless bleeding in the third trimester","Vaginal bleeding, painless bleeding in the third trimester","Bed rest, avoiding strenuous activity, frequent prenatal check-ups, potential hospitalization, potential cesarean delivery",
Acute Pancreatitis,"Severe upper abdominal pain, nausea, vomiting, fever, rapid pulse, swollen and tender abdomen, jaundice","Severe upper abdominal pain, nausea, vomiting, fever, rapid pulse, swollen and tender abdomen, jaundice","Hospitalization, intravenous fluids to restore hydration, pain management, bowel rest, nutritional support, medications to control pain and inflammation",
Gum Disease,"Swollen, red, tender gums, bleeding gums","Swollen, red, tender gums, bleeding gums","Oral hygiene practices (brushing, flossing), professional dental cleanings, medications, surgical interventions",
Panic Attack,"Chest pain, shortness of breath, palpitations","Chest pain, shortness of breath, palpitations","Breathing exercises, relaxation techniques, therapy",
Lice,Itching and visible presence of lice or nits (eggs) in the hair,Itching and visible presence of lice or nits (eggs) in the hair,"Over-the-counter or prescription medications specifically designed to kill lice (such as pediculicides), manual removal of lice and nits using a fine-toothed comb, washing and drying of infested clothing and bedding at high temperatures, vacuuming of upholstery and household surfaces, disinfection of personal items that cannot be washed or dried, avoiding direct head-to-head contact with infested individuals, education and prevention strategies",
Pyloric stenosis,"Persistent hunger, Weight loss, Dehydration, Visible peristalsis, Palpable mass, Fussiness ","Persistent hunger, Weight loss, Dehydration, Visible peristalsis, Palpable mass, Fussiness ","Ultrasound, Blood tests, Pyloromyotomy",
Pigmentary Glaucoma,"Blurred vision, halos around lights, eye pain","Blurred vision, halos around lights, eye pain","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)",
Abscess,"Swelling, pain, redness, fever, pus formation","Swelling, pain, redness, fever, pus formation","Antibiotics, surgical drainage",
Myositis,"Muscle weakness, pain, inflammation","Muscle weakness, pain, inflammation","Medications (corticosteroids, immunosuppressants), physical therapy",
Von Willebrand Disease,"Easy or excessive bruising, prolonged or excessive bleeding from cuts or injuries, frequent nosebleeds, heavy or prolonged menstrual periods, bleeding gums, blood in urine or stool","Easy or excessive bruising, prolonged or excessive bleeding from cuts or injuries, frequent nosebleeds, heavy or prolonged menstrual periods, bleeding gums, blood in urine or stool","Desmopressin (DDAVP) medication, replacement therapy with von Willebrand factor (VWF) concentrate or cryoprecipitate, oral contraceptives (for women with heavy menstrual bleeding), avoiding certain medications, dental care precautions, regular medical follow-up",
Gastroparesis,"Nausea, vomiting, early satiety, bloating, abdominal pain, poor appetite","Nausea, vomiting, early satiety, bloating, abdominal pain, poor appetite","Dietary modifications (small, frequent meals; low-fiber, low-fat diet), medication to promote gastric emptying, managing underlying cause if possible",
Chancroid,"Painful ulcers or sores on the genital area, swollen lymph nodes in the groin","Painful ulcers or sores on the genital area, swollen lymph nodes in the groin","Antibiotics (such as azithromycin or ceftriaxone), pain management, warm compresses, good hygiene",
Fungal Infection of the Skin,"Rash, itching, redness, peeling skin","Rash, itching, redness, peeling skin","Antifungal creams, powders, or oral medications, proper hygiene and skin care",
Stimulant Use Disorder,"Increased energy and alertness, euphoria, decreased appetite, increased heart rate and blood pressure, insomnia, restlessness, irritability, paranoia, psychosis (in severe cases)","Increased energy and alertness, euphoria, decreased appetite, increased heart rate and blood pressure, insomnia, restlessness, irritability, paranoia, psychosis (in severe cases)","Counseling or therapy (such as cognitive-behavioral therapy, motivational interviewing), support groups, medication (if applicable), addressing underlying psychological or social factors, lifestyle changes, addressing co-occurring mental health conditions, harm reduction strategies, ongoing monitoring and support",
Chronic Fatigue Syndrome,"Extreme fatigue, cognitive difficulties, unrefreshing sleep","Extreme fatigue, cognitive difficulties, unrefreshing sleep","Symptom management (such as medications to address pain, sleep disturbances, and other symptoms), graded exercise therapy, cognitive-behavioral therapy, sleep management techniques, pacing and energy conservation, stress reduction techniques, nutritional support, medications for specific symptoms",
Threatened Pregnancy,"Vaginal bleeding, abdominal cramps, pelvic pain","Vaginal bleeding, abdominal cramps, pelvic pain","Bed rest, medications (progesterone), monitoring, avoiding activities that may stress the pregnancy",
Chronic Glaucoma,"Gradual vision loss, peripheral vision impairment, eye pain or discomfort, halos around lights","Gradual vision loss, peripheral vision impairment, eye pain or discomfort, halos around lights","Eye drops (to reduce intraocular pressure), oral medications, laser therapy, surgery (trabeculectomy, implantable devices), regular eye exams",
Urticaria (Hives),"Raised, itchy welts on the skin","Raised, itchy welts on the skin","Antihistamines, avoiding triggers, corticosteroids (in severe cases)",
Vitreous Hemorrhage,"Floaters in vision, blurry vision, eye pain","Floaters in vision, blurry vision, eye pain","Observation, laser treatment, vitrectomy (in severe cases)",
Binge Eating Disorder,Recurrent episodes of binge eating without compensatory behaviors,Recurrent episodes of binge eating without compensatory behaviors,"Psychotherapy (such as cognitive-behavioral therapy or interpersonal therapy), nutritional counseling, medications (in some cases), support groups",
Hypercholesterolemia,"High levels of cholesterol in the blood, fatty deposits (xanthomas) on the skin or tendons, chest pain or angina, heart attacks, strokes","High levels of cholesterol in the blood, fatty deposits (xanthomas) on the skin or tendons, chest pain or angina, heart attacks, strokes","Lifestyle modifications (healthy diet, regular exercise, weight management, smoking cessation), medications to lower cholesterol levels (such as statins), regular monitoring of cholesterol levels, management of underlying conditions (such as diabetes or high blood pressure), potential additional treatments (such as bile acid sequestrants or PCSK9 inhibitors)",
Stress Incontinence,Unintentional urine leakage during physical activity,Unintentional urine leakage during physical activity,"Pelvic floor exercises, behavioral techniques, surgery (in severe cases)",
Labyrinthitis,"Vertigo, dizziness, nausea, hearing loss, ear pain","Vertigo, dizziness, nausea, hearing loss, ear pain","Medications (antibiotics, antivirals), vestibular rehabilitation therapy",
Dysthymic Disorder,"Persistent depressive symptoms (low mood, lack of interest, changes in sleep and appetite), lasting for at least two years","Persistent depressive symptoms (low mood, lack of interest, changes in sleep and appetite), lasting for at least two years","Psychotherapy (cognitive-behavioral therapy, interpersonal therapy), antidepressant medications",
Ethylene glycol poisoning-1,"Nausea, vomiting, abdominal pain, General malaise, weakness, Increased thirst, frequent urination","Nausea, vomiting, abdominal pain, General malaise, weakness, Increased thirst, frequent urination","Supportive Measures, Gastric Decontamination, Antidote Administration, Hemodialysis",
Impulse Control Disorder,"Impulsive behaviors (e.g., gambling, stealing), difficulty resisting urges","Impulsive behaviors (e.g., gambling, stealing), difficulty resisting urges","Psychotherapy, medication (in some cases), support groups, behavioral interventions",
Intracranial Hemorrhage,"Severe headache, nausea or vomiting, changes in vision, loss of consciousness, seizures","Severe headache, nausea or vomiting, changes in vision, loss of consciousness, seizures","Emergency medical attention, surgery (if needed), medications to control bleeding and manage symptoms",
Postpartum Depression,"Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby","Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby","Psychotherapy (such as cognitive-behavioral therapy or interpersonal therapy), support groups or peer counseling, antidepressant medication (if recommended by a healthcare professional), hormone therapy (in some cases), lifestyle changes (such as exercise, healthy diet, sleep hygiene), involving a partner or family in the care of the baby, social support and understanding from family and friends, regular follow-up and monitoring by healthcare professionals",
Injury to the Leg,"Pain, swelling, bruising, difficulty walking","Pain, swelling, bruising, difficulty walking","R.I.C.E. (Rest, Ice, Compression, Elevation), pain medications, physical therapy",
Stroke,"Sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache","Sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache","Emergency medical attention, medication (clot-busting drugs, anticoagulants), supportive care, rehabilitation (physical therapy, speech therapy), lifestyle modifications (diet, exercise, smoking cessation), addressing underlying risk factors",
Huntington Disease,"Motor, cognitive, and psychiatric symptoms","Motor, cognitive, and psychiatric symptoms","Supportive care, medications (to manage symptoms), therapy",
Mononucleosis,"Fatigue, sore throat, swollen lymph nodes","Fatigue, sore throat, swollen lymph nodes","Rest, pain relievers, fluids, symptom management",
Hallucinogen Use Disorder,"Altered perception of reality, visual or auditory hallucinations, changes in sensory experiences, introspective thoughts, feelings of connection or disconnection, anxiety or paranoia (in some individuals), flashbacks (in some individuals)","Altered perception of reality, visual or auditory hallucinations, changes in sensory experiences, introspective thoughts, feelings of connection or disconnection, anxiety or paranoia (in some individuals), flashbacks (in some individuals)","Counseling or therapy (such as cognitive-behavioral therapy, motivational interviewing), support groups, addressing underlying psychological or social factors, harm reduction strategies, ongoing monitoring and support",
Ependymoma,"Headaches, nausea, seizures, changes in coordination or balance","Headaches, nausea, seizures, changes in coordination or balance","Surgery, radiation therapy, chemotherapy, targeted therapy, rehabilitation",
Lymphoma,"Swollen lymph nodes, unexplained weight loss, fatigue","Swollen lymph nodes, unexplained weight loss, fatigue","Chemotherapy, radiation therapy, immunotherapy, targeted therapy",
Urinary Tract Infection (UTI),"Painful urination, frequent urination, pelvic pain, cloudy urine","Painful urination, frequent urination, pelvic pain, cloudy urine","Antibiotics safe for pregnancy, increased fluid intake, maintaining good hygiene, urine culture and sensitivity testing to guide antibiotic selection",
Transient ischemic attack,Sudden onset of neurological symptoms that resolve within 24 hours,Sudden onset of neurological symptoms that resolve within 24 hours,"Antiplatelet medications, Carotid endarterectomy,  Anticoagulant medications, Lifestyle modifications",
Normal-Tension Glaucoma,"Gradual loss of vision, visual field defects","Gradual loss of vision, visual field defects","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)",
Thyroid Disease,"Fatigue, weight changes, mood swings, dry skin","Fatigue, weight changes, mood swings, dry skin","Medications (thyroid hormone replacement, antithyroid drugs), radioactive iodine therapy, surgery (in some cases)",
Bladder Cancer,"Blood in urine, frequent urination, pelvic pain","Blood in urine, frequent urination, pelvic pain","Surgery, chemotherapy, radiation therapy",
Fracture of the Arm,"Pain, swelling, deformity, limited mobility or difficulty moving the arm, bruising","Pain, swelling, deformity, limited mobility or difficulty moving the arm, bruising","Immobilization (cast or splint), pain management, physical therapy, surgery (in complex fractures)",
Mucocele,"Painless swelling, usually on the lower lip or floor of the mouth","Painless swelling, usually on the lower lip or floor of the mouth","Observation, surgical removal if necessary",
Kidney Failure,"Decreased urine output, fluid retention, fatigue, shortness of breath, nausea, confusion, chest pain, seizures","Decreased urine output, fluid retention, fatigue, shortness of breath, nausea, confusion, chest pain, seizures","Treatment depends on the underlying cause and may include medications to manage blood pressure and symptoms, dietary modifications (restricting salt, protein, and potassium), dialysis (hemodialysis or peritoneal dialysis) or kidney transplantation (in end-stage kidney failure), treatment of complications, management of fluid and electrolyte balance, lifestyle modifications (exercise, quitting smoking, healthy diet)",
Chagas Disease,"Fever, fatigue, body aches, heart and digestive problems","Fever, fatigue, body aches, heart and digestive problems","Antiparasitic medications, medications to manage symptoms, supportive care",
Leukemia,"Fatigue, pale skin, frequent infections, easy bleeding or bruising","Fatigue, pale skin, frequent infections, easy bleeding or bruising","Chemotherapy, radiation therapy, stem cell transplant, targeted therapy, supportive care",
Vesicoureteral Reflux,"Frequent urinary tract infections, urinary urgency or frequency, bedwetting (in children), high blood pressure (in severe cases)","Frequent urinary tract infections, urinary urgency or frequency, bedwetting (in children), high blood pressure (in severe cases)","Antibiotics, bladder training exercises, surgical correction (in some cases)",
Endometriosis,"Pelvic pain (during menstruation, intercourse, or bowel movements), heavy menstrual bleeding, infertility","Pelvic pain (during menstruation, intercourse, or bowel movements), heavy menstrual bleeding, infertility","Pain management (such as nonsteroidal anti-inflammatory drugs [NSAIDs], hormonal contraceptives, or progestins), hormone therapy (such as gonadotropin-releasing hormone [GnRH] agonists or oral contraceptives), surgical interventions (such as laparoscopic excision or hysterectomy), fertility treatments (if pregnancy is desired), lifestyle modifications (such as regular exercise, stress management), complementary therapies (such as acupuncture or dietary changes)",
Psoriasis,"Red, scaly patches on the skin, itching","Red, scaly patches on the skin, itching","Topical treatments (corticosteroids, salicylic acid), systemic medications (retinoids, immunosuppressants), phototherapy",
Infection of Open Wound,"Redness, swelling, warmth, pain or tenderness at the wound site, pus or drainage from the wound, fever, malaise","Redness, swelling, warmth, pain or tenderness at the wound site, pus or drainage from the wound, fever, malaise","Cleaning and irrigation of the wound, antibiotic therapy (oral or intravenous), wound dressings, wound debridement (if necessary), tetanus prophylaxis",
Anemia,"Fatigue, weakness, pale skin, shortness of breath","Fatigue, weakness, pale skin, shortness of breath","Iron supplementation, dietary changes (iron-rich foods), managing underlying causes (such as treating iron deficiency or vitamin B12 deficiency), prenatal vitamins",
Spondylosis,"Neck or back pain, stiffness, limited range of motion, numbness or weakness in the extremities","Neck or back pain, stiffness, limited range of motion, numbness or weakness in the extremities","Medications (pain relievers, muscle relaxants), physical therapy, exercise, posture improvement, heat or cold therapy, spinal injections, surgery (in severe cases or if conservative treatments fail)",
Acute Otitis Media,"Ear pain, fever, fluid drainage from the ear, hearing loss or muffled hearing in the affected ear","Ear pain, fever, fluid drainage from the ear, hearing loss or muffled hearing in the affected ear","Antibiotics, pain relievers (e.g., acetaminophen, ibuprofen), warm compresses, ear drops, tympanostomy tubes (in some cases)",
